Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2018 Yeti SB4.5 medium,2018,Yeti,NoModelFound,2500,USD,"Good - Used, Mechanically Sound",M,29,140 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3852054/
2019 Specialized Stumpjumper Comp Alloy 27.5 Size M,2019,Specialized,NoModelFound,1900,USD,"Good - Used, Mechanically Sound",M,27.5 / 650B,150 mm,140 mm,Aluminium,model,https://www.pinkbike.com/buysell/3896012/
2022 Santa Cruz Joplin AL D-build,2022,Santa Cruz,NoModelFound,2899,USD,New - Unridden/With Tags,M,29,130 mm,120 mm,Aluminium,model,https://www.pinkbike.com/buysell/3873376/
2021 Semi Custom Commencal TR 29,2021,Commencal,NoModelFound,3200,USD,Excellent - Lightly Ridden,M,29,160 mm,140 mm,Aluminium,model,https://www.pinkbike.com/buysell/3895874/
2020 SB130 Carbon Wheels,2020,NoManufacturer,NoModelFound,3500,USD,Excellent - Lightly Ridden,XL,29,150 mm,130 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3447922/
2023 StumpJumper Evo Pro XL,2023,NoManufacturer,NoModelFound,4000,USD,"Good - Used, Mechanically Sound",XL,29,160 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3882395/
2024 PIVOT Cycles Shuttle AM - TEAM Large Blue,2024,Pivot,Shuttle Electric,8000,USD,Excellent - Lightly Ridden,L,29,160 mm,150 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3892907/
2016 Transition Trans Am 29,2016,Transition,NoModelFound,1100,USD,"Good - Used, Mechanically Sound",M,29,130 mm,0 mm (Hardtail),Steel,model,https://www.pinkbike.com/buysell/3851039/
2022 Occam M10 with Upgrades - Barely Ridden!! Size Large,2022,NoManufacturer,NoModelFound,6000,USD,Excellent - Lightly Ridden,L,29,140 mm,140 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3481829/
2023 XXL 29” Yeti SB-140 GX AXS,2023,Yeti,NoModelFound,3299,USD,Excellent - Lightly Ridden,XXL,29,150 mm,140 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3885101/
